timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, FlowX, FlowY, commandT, commandR, commandP, commandYR, m1, m2, m3, m4, otX0, otY0, otZ0, otRoll0, otPitch0, otYaw0, CameraTime
27746, -1.8415501117706299, -1.4680038690567017, -0.39730948209762573, -0.0016447928501293063, -0.003195147030055523, 0.015275713987648487, -0.0021378262899816036, -0.0030738445930182934, 0.004989369306713343, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 37354.0, 0.0, 35388.0, 0.0, 0.015466853976249695, -0.021223142743110657, 0.04570732265710831, 0.6620172879448557, 0.7174063577816412, 6.7381816217839665, 22033.0
27926, -1.8566815853118896, -1.4517537355422974, -0.39937514066696167, -0.0014234207337722182, -0.003400309942662716, 0.01601116545498371, -0.0012309338198974729, -0.004501956980675459, 0.004647505935281515, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 37354.0, 0.0, 35388.0, 0.0, 0.015393069945275784, -0.018916696310043335, 0.04776492714881897, -0.7695106553421261, 0.434972564643175, 6.4662089565496474, 22033.0
27996, -1.8131694793701172, -1.449979305267334, -0.40100640058517456, -0.001664065639488399, -0.003876942675560713, 0.015746386721730232, -0.002360306214541197, -0.00745617737993598, 0.0022653324995189905, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 37354.0, 0.0, 35388.0, 0.0, 0.016400087624788284, -0.021096503362059593, 0.045931655913591385, 1.2932414355974706, 0.9591576275197156, 6.920746657489286, 22033.0
28256, -0.6238484978675842, -1.3758479356765747, -0.5988487601280212, -0.00048456620424985886, -0.004162401892244816, 0.014363449066877365, 0.036682263016700745, 0.03439096361398697, -0.014635355211794376, 0.0, -6.0, 20102.0, 2377.0, 858.0, -5019.0, 38024.0, 18422.0, 35820.0, 21418.0, 0.015455716289579868, -0.019265765324234962, 0.04645698145031929, -0.3125130497795814, 0.8271303447126002, 7.133300360237325, 22033.0
28296, -0.9722328782081604, -1.0130698680877686, -0.9623335003852844, -0.004945883061736822, -0.009218519553542137, 0.014608562923967838, 0.015596085228025913, 0.007555326912552118, 0.004399717785418034, -26.0, -10.0, 20102.0, 2377.0, 858.0, -5019.0, 38024.0, 18422.0, 35820.0, 21418.0, 0.014839496463537216, -0.021041322499513626, 0.04693383350968361, 1.1141397839146479, 0.627122087523162, 7.083773760604575, 22033.0
28346, -3.2457334995269775, -0.9160652160644531, -0.12923386693000793, -0.0022257440723478794, 0.006112797651439905, 0.018103787675499916, 0.03205571323633194, 0.08340322971343994, 0.007311241701245308, 1.0, 5.0, 20102.0, 2377.0, 858.0, -5019.0, 37354.0, 21882.0, 8614.0, 18321.0, 0.015082094818353653, -0.019022665917873383, 0.04710163176059723, 0.3585113619698546, 0.46651738975899093, 6.569829389731752, 22033.0
28386, -3.5569777488708496, -1.2218116521835327, -0.1195882260799408, -0.004704357590526342, 0.005350247025489807, 0.01903594844043255, 0.01844845339655876, 0.07803299278020859, -0.006336696911603212, -9.0, 13.0, 20102.0, 2377.0, 858.0, -5019.0, 38455.0, 21636.0, 65535.0, 18568.0, 0.015554209239780903, -0.019271017983555794, 0.04622550681233406, -0.3210322692472798, 1.156699132458499, 7.247315043810992, 22033.0
28396, -2.9935970306396484, -1.3179160356521606, 0.06933154910802841, -0.004704357590526342, 0.005350247025489807, 0.01903594844043255, 0.01844845339655876, 0.07803299278020859, -0.006336696911603212, -9.0, 13.0, 20102.0, 2377.0, 858.0, -5019.0, 38455.0, 21636.0, 65535.0, 18568.0, 0.015325897373259068, -0.019747424870729446, 0.04634212702512741, 0.08777171041838884, 0.7531139281233834, 6.8618719188208015, 22033.0
28496, -1.8019365072250366, -1.0877400636672974, -0.5036713480949402, -0.001541784149594605, 0.00758931552991271, 0.0184733085334301, 0.04175477847456932, 0.0829005166888237, 0.05260584503412247, 19.0, 6.0, 20142.0, -600.0, 825.0, -1856.0, 37028.0, 21614.0, 29237.0, 17804.0, 0.015432958491146564, -0.019207244738936424, 0.045718587934970856, -0.10516173871948002, 0.930688171034376, 6.778621206890442, 22033.0
28656, -2.731079578399658, -0.42646893858909607, -0.37440961599349976, -0.003933606203645468, 0.004919141065329313, 0.019268527626991272, 0.02206813357770443, 0.0420369915664196, -0.035819265991449356, 4.0, -1.0, 20102.0, 429.0, -840.0, 2489.0, 37049.0, 24249.0, 50550.0, 15536.0, 0.01650664210319519, -0.019749019294977188, 0.04631388932466507, 0.6831863585230484, 0.5608572993613166, 6.665192096616617, 22033.0
28696, -1.4709889888763428, -0.46644046902656555, -0.30466076731681824, -0.0041925557889044285, 0.0024619277101010084, 0.018082227557897568, 0.019554655998945236, 0.03577999398112297, -2.9564633223344572e-05, 10.0, 3.0, 20102.0, 429.0, -840.0, 2489.0, 37205.0, 20743.0, 63003.0, 19460.0, 0.015651945024728775, -0.017349477857351303, 0.05047957971692085, 0.442683006194547, 0.12795065182524468, 5.678426632977486, 22033.0
28776, -0.0606469064950943, -0.6574002504348755, -0.6712257862091064, -0.002682544058188796, 0.00457243574783206, 0.01715618558228016, 0.026718726381659508, 0.040419016033411026, -0.009423424489796162, -19.0, -8.0, 19653.0, -2632.0, 891.0, -286.0, 36706.0, 19126.0, 39045.0, 19735.0, 0.015724649652838707, -0.018373357132077217, 0.050325289368629456, 0.3268657850917656, 0.05715088128516754, 5.713496310955128, 22033.0
28996, -0.8986408710479736, -0.33516404032707214, -0.4119971990585327, -0.0035331465769559145, 0.003333084052428603, 0.01640525460243225, 0.014036529697477818, 0.020676739513874054, -0.03137055039405823, 0.0, 0.0, 20772.0, -2550.0, 49.0, -743.0, 38947.0, 21593.0, 2621.0, 19951.0, 0.01762082427740097, -0.003225182183086872, 0.04932475835084915, 0.14230452167725743, 2.0069758511617124, -173.77453824249775, 22033.0
29036, 1.191296935081482, -0.4122949242591858, -0.4390832483768463, -0.00312958681024611, -0.002075974829494953, 0.0190924983471632, 0.014108531177043915, -0.0011662151664495468, 0.0062460871413350105, 0.0, 0.0, 19897.0, -2884.0, -191.0, 1869.0, 39387.0, 17404.0, 65535.0, 22809.0, 0.016161641106009483, -0.017105335369706154, 0.04854331538081169, 0.3354206524041119, 0.6021166123354362, 6.424363611575072, 22033.0
29106, -1.2797330617904663, -0.5162348747253418, -0.09322762489318848, -0.0015062257880344987, 0.0026898097712546587, 0.01798175275325775, 0.02079738676548004, 0.015298551879823208, -0.030548950657248497, 4.0, -4.0, 20102.0, 4523.0, -1319.0, -32767.0, 37403.0, 22365.0, 30559.0, 17839.0, 0.01644696481525898, -0.01937699131667614, 0.04889886453747749, 1.1070353692055732, 0.5102702270469592, 6.3149465019921465, 22033.0
29186, 1.1880977153778076, -0.04039211943745613, -0.45454782247543335, -0.0037480483297258615, -0.00022884842474013567, 0.01903953030705452, 0.005474611651152372, 0.010496588423848152, 0.011565434746444225, -12.0, -3.0, 22111.0, -5103.0, -5859.0, 13571.0, 37368.0, 20700.0, 25372.0, 24863.0, 0.01622653193771839, -0.017412934452295303, 0.04595370218157768, -0.5403743174151828, 0.36432074436370954, 7.034044728608719, 22033.0
